marque,modele,periode,moteur,distribution,puissance_ch,entretien_km,entretien_ans,brand_slug,model_slug
Dodge,Intrepid,Intrepid 2.7 V6 EER 2000-2004,2.7 V6 EER,CHAÎNE,200,-,-,dodge,intrepid
Dodge,Intrepid,Intrepid 3.2 V6 EGJ 2000-2004,3.2 V6 EGJ,COURROIE,225,120 000 km,5 ans,dodge,intrepid
Dodge,Intrepid,Intrepid 3.5 V6 EGG 2000-2004,3.5 V6 EGG,COURROIE,234-250,120 000 km,-,dodge,intrepid
Dodge,Intrepid,Intrepid EGH 2000-2004,EGH,COURROIE,234-250,-,5 ans,dodge,intrepid
Dodge,Journey,Journey 2.4 World Engine 2009-2010,2.4 World Engine,CHAÎNE,173,-,-,dodge,journey
Dodge,Journey,Journey 3.5 V6 EGG 2009-2010,3.5 V6 EGG,COURROIE,235,120 000 km,5 ans,dodge,journey
Dodge,Journey,Journey 3.6 V6 Pentastar 2011-2020,3.6 V6 Pentastar,CHAÎNE,283-305,-,-,dodge,journey
Dodge,Magnum,Magnum 2.7 V6 EER 2005-2008,2.7 V6 EER,CHAÎNE,190-200,-,-,dodge,magnum
Dodge,Magnum,Magnum 5.7 V8 HEMI Eagle 2005-2008,5.7 V8 HEMI Eagle,CHAÎNE,340-350,-,-,dodge,magnum
Dodge,Magnum,Magnum 3.5 V6 EGG 2005-2008,3.5 V6 EGG,COURROIE,250,120 000 km,-,dodge,magnum
Dodge,Magnum,Magnum EGH 2005-2008,EGH,COURROIE,250,-,5 ans,dodge,magnum
Dodge,Magnum SRT-8,Magnum SRT-8 6.1 V8 HEMI 2006-2008,6.1 V8 HEMI,CHAÎNE,425,-,-,dodge,magnum-srt-8
Dodge,Neon,Neon 2.0 SOHC 8 2000-2005,2.0 SOHC 8,COURROIE,132-150,100 000 km,-,dodge,neon
Dodge,Neon,Neon 16V 2000-2005,16V,COURROIE,132-150,-,5 ans,dodge,neon
Dodge,Neon SRT-4,Neon SRT-4 2.4 Turbo EDV 2003-2005,2.4 Turbo EDV,COURROIE,230-250,100 000 km,-,dodge,neon-srt-4
Dodge,Neon SRT-4,Neon SRT-4 EDT 2003-2005,EDT,COURROIE,230-250,-,5 ans,dodge,neon-srt-4
Dodge,Nitro,Nitro 4.0 V6 SOHC 2007-2011,4.0 V6 SOHC,CHAÎNE,260,-,-,dodge,nitro
Dodge,Nitro,Nitro 3.7 V6 PowerTech 2007-2012,3.7 V6 PowerTech,CHAÎNE,210,-,-,dodge,nitro
Dodge,Ram 1500 (Dodge),Ram 1500 (Dodge) 3.7 V6 PowerTech 2000-2008,3.7 V6 PowerTech,CHAÎNE,210,-,-,dodge,ram-1500-dodge
Dodge,Ram 1500 (Dodge),Ram 1500 (Dodge) 4.7 V8 PowerTech 2002-2008,4.7 V8 PowerTech,CHAÎNE,235-310,-,-,dodge,ram-1500-dodge
Dodge,Ram 1500 (Dodge),Ram 1500 (Dodge) 5.7 V8 HEMI 2003-2008,5.7 V8 HEMI,CHAÎNE,345-390,-,-,dodge,ram-1500-dodge
Dodge,Ram 2500/3500 (Dodge),Ram 2500/3500 (Dodge) 5.9 V8 Magnum 2000-2002,5.9 V8 Magnum,CHAÎNE,245,-,-,dodge,ram-2500-3500-dodge
Dodge,Ram 2500/3500 (Dodge),Ram 2500/3500 (Dodge) 5.7 V8 HEMI 2003-2009,5.7 V8 HEMI,CHAÎNE,345-385,-,-,dodge,ram-2500-3500-dodge
Dodge,Stratus Coupe,Stratus Coupe 3.0 V6 SOHC (Mitsubishi) 2001-2005,3.0 V6 SOHC (Mitsubishi),COURROIE,200,100 000 km,5 ans,dodge,stratus-coupe
Dodge,Stratus Sedan,Stratus Sedan 2.7 V6 EER 2001-2006,2.7 V6 EER,CHAÎNE,200,-,-,dodge,stratus-sedan
Dodge,Stratus Sedan,Stratus Sedan 2.4 DOHC EDZ 2001-2006,2.4 DOHC EDZ,COURROIE,150,100 000 km,5 ans,dodge,stratus-sedan
Dodge,Viper,Viper 8.0 V10 (SR II) 2000-2002,8.0 V10 (SR II),CHAÎNE,450,-,-,dodge,viper
Dodge,Viper,Viper 8.3 V10 (ZB I) 2003-2006,8.3 V10 (ZB I),CHAÎNE,500,-,-,dodge,viper
Dodge,Viper,Viper 8.4 V10 (ZB II) 2008-2010,8.4 V10 (ZB II),CHAÎNE,600,-,-,dodge,viper
Dodge,Viper (SRT),Viper (SRT) 8.4 V10 (VX I) 2013-2017,8.4 V10 (VX I),CHAÎNE,640-645,-,-,dodge,viper-srt
Fiat,124 Spider,124 Spider 1.4 MultiAir Turbo 348 (2016-2019),1.4 MultiAir Turbo,COURROIE,140-170,120000 km,-,fiat,124-spider
Fiat,500,500 0.9 TwinAir Turbo 312 (2007-2020),0.9 TwinAir Turbo,CHAÎNE,85-105,-,-,fiat,500
Fiat,500,500 1.3 Multijet II 312 (2007-2020),1.3 Multijet II,CHAÎNE,75-95,-,-,fiat,500
Fiat,500,500 1.2 8v FIRE 312 (2007-2020),1.2 8v FIRE,COURROIE,69,120000 km,10 ans,fiat,500
Fiat,500,500 1.4 16v FIRE 312 (2007-2020),1.4 16v FIRE,COURROIE,100,120000 km,10 ans,fiat,500
Fiat,500,500 1.0 Hybrid FireFly GSE MCA (2020-2024),1.0 Hybrid FireFly GSE,CHAÎNE,70,-,-,fiat,500
Fiat,500 Abarth,500 Abarth 1.4 T-Jet 312 (2008-2020),1.4 T-Jet,COURROIE,135-180,120000 km,-,fiat,500-abarth
Fiat,500 Abarth,500 Abarth MultiAir Turbo 312 (2008-2020),MultiAir Turbo,COURROIE,135-180,120000 km,-,fiat,500-abarth
Fiat,500L,500L 0.9 TwinAir Turbo 330 (2012-2022),0.9 TwinAir Turbo,CHAÎNE,105,-,-,fiat,500l
Fiat,500L,500L 1.3 Multijet II 330 (2012-2022),1.3 Multijet II,CHAÎNE,85-95,-,-,fiat,500l
Fiat,500L,500L 1.4 16v FIRE 330 (2012-2022),1.4 16v FIRE,COURROIE,95,120000 km,10 ans,fiat,500l
Fiat,500L,500L 1.6 Multijet II 330 (2012-2022),1.6 Multijet II,COURROIE,105-120,180000-210000 km,-,fiat,500l
Fiat,500L,500L 1.4 T-Jet 330 (2017-2022),1.4 T-Jet,COURROIE,120,120000 km,-,fiat,500l
Fiat,500X,500X 1.6 E-Torq 334 (2014-2018),1.6 E-Torq,COURROIE,110,120000 km,-,fiat,500x
Fiat,500X,500X 1.4 MultiAir Turbo 334 (2014-2018),1.4 MultiAir Turbo,COURROIE,140-170,120000 km,-,fiat,500x
Fiat,500X,500X 1.6 Multijet II 334 (2014-2020),1.6 Multijet II,COURROIE,120,180000-210000 km,-,fiat,500x
Fiat,500X,500X 2.0 Multijet II 334 (2014-2020),2.0 Multijet II,COURROIE,140-170,180000-210000 km,-,fiat,500x
Fiat,500X,500X 1.0 FireFly Turbo 334 (2018-…),1.0 FireFly Turbo,CHAÎNE,120,-,-,fiat,500x
Fiat,500X,500X 1.3 FireFly Turbo 334 (2018-…),1.3 FireFly Turbo,CHAÎNE,150-180,-,-,fiat,500x
Fiat,500X,500X Hybrid 1.5 FireFly 334 (2022-…),Hybrid 1.5 FireFly,CHAÎNE,130 (système),-,-,fiat,500x
Fiat,595/695 Abarth,595/695 Abarth 1.4 T-Jet 312 (2012-2024),1.4 T-Jet,COURROIE,145-180,120000 km,-,fiat,595-695-abarth
Fiat,595/695 Abarth,595/695 Abarth MultiAir Turbo 312 (2012-2024),MultiAir Turbo,COURROIE,145-180,120000 km,-,fiat,595-695-abarth
Fiat,Bravo,Bravo 1.4 16v FIRE 198 (2007-2014),1.4 16v FIRE,COURROIE,90,120000 km,10 ans,fiat,bravo
Fiat,Bravo,Bravo 1.4 T-Jet 198 (2007-2014),1.4 T-Jet,COURROIE,120-150,120000 km,-,fiat,bravo
Fiat,Bravo,Bravo 1.6 Multijet 198 (2007-2014),1.6 Multijet,COURROIE,105-120,180000-210000 km,-,fiat,bravo
Fiat,Bravo,Bravo 2.0 Multijet 198 (2007-2014),2.0 Multijet,COURROIE,165,180000-210000 km,-,fiat,bravo
Fiat,Croma,Croma 2.2 16v (GM) 194 (2005-2010),2.2 16v (GM),CHAÎNE,150,-,-,fiat,croma
Fiat,Croma,Croma 1.8 16v 194 (2005-2010),1.8 16v,COURROIE,140,120000 km,10 ans,fiat,croma
Fiat,Croma,Croma 1.9 Multijet 8v 194 (2005-2010),1.9 Multijet 8v,COURROIE,120-150,180000-210000 km,-,fiat,croma
Fiat,Croma,Croma 16v 194 (2005-2010),16v,COURROIE,120-150,180000-210000 km,-,fiat,croma
Fiat,Croma,Croma 2.4 Multijet 20v 194 (2005-2010),2.4 Multijet 20v,COURROIE,200,180000-210000 km,-,fiat,croma
Fiat,Doblo,Doblo 1.2 223 (2001-2010),1.2,COURROIE,65-77,120000 km,-,fiat,doblo
Fiat,Doblo,Doblo 1.4 8v FIRE 223 (2001-2010),1.4 8v FIRE,COURROIE,65-77,-,10 ans,fiat,doblo
Fiat,Doblo,Doblo 1.3 223 (2006-2010),1.3,CHAÎNE,70-120,-,-,fiat,doblo
Fiat,Doblo,Doblo 1.9 Multijet 223 (2006-2010),1.9 Multijet,COURROIE,70-120,-,-,fiat,doblo
Fiat,Doblo,Doblo 1.3 263 (2010-2022),1.3,CHAÎNE,90-135,-,-,fiat,doblo
Fiat,Doblo,Doblo 1.6 263 (2010-2022),1.6,COURROIE,90-135,180000-210000 km,-,fiat,doblo
Fiat,Doblo,Doblo 2.0 Multijet 263 (2010-2022),2.0 Multijet,COURROIE,90-135,180000-210000 km,-,fiat,doblo
Fiat,Doblo,Doblo 1.4 8v 263 (2010-2022),1.4 8v,COURROIE,95-120,120000 km,-,fiat,doblo
Fiat,Doblo,Doblo 16v 263 (2010-2022),16v,COURROIE,95-120,-,10 ans,fiat,doblo
Fiat,Doblo,Doblo T-Jet 263 (2010-2022),T-Jet,COURROIE,95-120,-,10 ans,fiat,doblo
Fiat,Doblo,Doblo 1.5 BlueHDi (Fiat-badgé) K9 (2022-…),1.5 BlueHDi (Fiat-badgé),COURROIE,100-130,180000-210000 km,-,fiat,doblo
Fiat,Ducato,Ducato 3.0 Multijet (Iveco F1C) X250/X290 (2006-…),3.0 Multijet (Iveco F1C),CHAÎNE,157-180,-,-,fiat,ducato
Fiat,Ducato,Ducato 2.0 X250/X290 (2006-…),2.0,COURROIE,110-150,180000-210000 km,-,fiat,ducato
Fiat,Ducato,Ducato 2.2 X250/X290 (2006-…),2.2,COURROIE,110-150,180000-210000 km,-,fiat,ducato
Fiat,Ducato,Ducato 2.3 Multijet X250/X290 (2006-…),2.3 Multijet,COURROIE,110-150,180000-210000 km,-,fiat,ducato
Fiat,Fiorino,Fiorino 1.3 Multijet 225 (2008-2020),1.3 Multijet,CHAÎNE,75-95,-,-,fiat,fiorino
Fiat,Fiorino,Fiorino 1.4 8v FIRE 225 (2008-2020),1.4 8v FIRE,COURROIE,73-77,120000 km,10 ans,fiat,fiorino
Fiat,Freemont,Freemont 3.6 V6 Pentastar JC49 (2011-2016),3.6 V6 Pentastar,CHAÎNE,280,-,-,fiat,freemont
Fiat,Freemont,Freemont 2.0 Multijet II JC49 (2011-2016),2.0 Multijet II,COURROIE,140-170,180000-210000 km,-,fiat,freemont
Fiat,Grande Punto,Grande Punto 1.3 199 (2005-2009),1.3,CHAÎNE,75-120,-,-,fiat,grande-punto
Fiat,Grande Punto,Grande Punto 1.9 Multijet 199 (2005-2009),1.9 Multijet,COURROIE,75-120,-,-,fiat,grande-punto
Fiat,Grande Punto,Grande Punto 1.2 199 (2005-2009),1.2,COURROIE,65-95,120000 km,-,fiat,grande-punto
Fiat,Grande Punto,Grande Punto 1.4 FIRE 199 (2005-2009),1.4 FIRE,COURROIE,65-95,-,10 ans,fiat,grande-punto
Fiat,Grande Punto,Grande Punto 1.4 T-Jet 199 (2005-2009),1.4 T-Jet,COURROIE,120-155,120000 km,-,fiat,grande-punto
Fiat,Panda,Panda 1.1 169 (2003-2012),1.1,COURROIE,54-100,120000 km,-,fiat,panda
Fiat,Panda,Panda 1.2 169 (2003-2012),1.2,COURROIE,54-100,-,10 ans,fiat,panda
Fiat,Panda,Panda 1.4 FIRE 169 (2003-2012),1.4 FIRE,COURROIE,54-100,-,10 ans,fiat,panda
Fiat,Panda,Panda 1.3 Multijet 169 (2004-2012),1.3 Multijet,CHAÎNE,70-75,-,-,fiat,panda
Fiat,Panda,Panda 0.9 TwinAir 312 (2012-2020),0.9 TwinAir,CHAÎNE,85,-,-,fiat,panda
Fiat,Panda,Panda 1.2 8v FIRE 312 (2012-2020),1.2 8v FIRE,COURROIE,69,120000 km,10 ans,fiat,panda
Fiat,Panda,Panda 1.0 Hybrid FireFly 319 (2020-…),1.0 Hybrid FireFly,CHAÎNE,70,-,-,fiat,panda
Fiat,Punto,Punto 1.2 FIRE 8v 188 (1999-2006),1.2 FIRE 8v,COURROIE,60-80,120000 km,-,fiat,punto
Fiat,Punto,Punto 16v 188 (1999-2006),16v,COURROIE,60-80,-,10 ans,fiat,punto
Fiat,Punto,Punto 1.3 Multijet 188 (2003-2006),1.3 Multijet,CHAÎNE,70,-,-,fiat,punto
Fiat,Punto,Punto 0.9 TwinAir 199 (2012-2018),0.9 TwinAir,CHAÎNE,65-85-95,-,-,fiat,punto
Fiat,Punto,Punto 1.2 FIRE 199 (2012-2018),1.2 FIRE,COURROIE,65-85-95,-,-,fiat,punto
Fiat,Punto,Punto 1.3 MJD 199 (2012-2018),1.3 MJD,CHAÎNE,65-85-95,-,-,fiat,punto
Fiat,Punto Evo,Punto Evo 1.4 MultiAir 199 (2009-2012),1.4 MultiAir,COURROIE,105-135,120000 km,-,fiat,punto-evo
Fiat,Qubo,Qubo 1.3 Multijet 300 (2008-2020),1.3 Multijet,CHAÎNE,75-95,-,-,fiat,qubo
Fiat,Qubo,Qubo 1.4 8v FIRE 300 (2008-2020),1.4 8v FIRE,COURROIE,77,120000 km,10 ans,fiat,qubo
Fiat,Scudo,Scudo 1.6 270 (2007-2016),1.6,COURROIE,90-163,180000-210000 km,-,fiat,scudo
Fiat,Scudo,Scudo 2.0 Multijet 270 (2007-2016),2.0 Multijet,COURROIE,90-163,180000-210000 km,-,fiat,scudo
Fiat,Scudo,Scudo 1.5 K0 (2016-…),1.5,COURROIE,100-180,180000-210000 km,-,fiat,scudo
Fiat,Scudo,Scudo 2.0 Multijet K0 (2016-…),2.0 Multijet,COURROIE,100-180,180000-210000 km,-,fiat,scudo
Fiat,Scudo,Scudo BlueHDi K0 (2016-…),BlueHDi,COURROIE,100-180,180000-210000 km,-,fiat,scudo
Fiat,Sedici,Sedici 1.6 essence (M16A) FY (2006-2014),1.6 essence (M16A),CHAÎNE,107-120,-,-,fiat,sedici
Fiat,Sedici,Sedici 1.9 Multijet FY (2006-2014),1.9 Multijet,COURROIE,120,180000-210000 km,-,fiat,sedici
Fiat,Stilo,Stilo 1.2 16v FIRE 192 (2001-2007),1.2 16v FIRE,COURROIE,80,120000 km,10 ans,fiat,stilo
Fiat,Stilo,Stilo 1.4 16v FIRE 192 (2001-2007),1.4 16v FIRE,COURROIE,95,120000 km,10 ans,fiat,stilo
Fiat,Stilo,Stilo 1.6 16v 192 (2001-2007),1.6 16v,COURROIE,103,120000 km,10 ans,fiat,stilo
Fiat,Stilo,Stilo 1.8 16v 192 (2001-2007),1.8 16v,COURROIE,133,120000 km,10 ans,fiat,stilo
Fiat,Stilo,Stilo 2.4 20v Abarth 192 (2001-2007),2.4 20v Abarth,COURROIE,170-192,120000 km,10 ans,fiat,stilo
Fiat,Stilo,Stilo 1.9 JTD 192 (2001-2007),1.9 JTD,COURROIE,80-140,180000 km,-,fiat,stilo
Fiat,Stilo,Stilo Multijet 192 (2001-2007),Multijet,COURROIE,80-140,180000 km,-,fiat,stilo
Fiat,Talento,Talento 1.6 dCi (R9M) 296 (2016-2020),1.6 dCi (R9M),CHAÎNE,95-145,-,-,fiat,talento
Fiat,Tipo,Tipo 1.3 356 (2016-2020),1.3,CHAÎNE,95-120,-,-,fiat,tipo
Fiat,Tipo,Tipo 1.6 Multijet II 356 (2016-2020),1.6 Multijet II,COURROIE,95-120,180000-210000 km,-,fiat,tipo
Fiat,Tipo,Tipo 1.4 16v FIRE 356 (2016-2020),1.4 16v FIRE,COURROIE,95,120000 km,10 ans,fiat,tipo
Fiat,Tipo,Tipo 1.4 T-Jet 356 (2016-2020),1.4 T-Jet,COURROIE,120,120000 km,-,fiat,tipo
Fiat,Tipo,Tipo 1.6 E-Torq 356 (2016-2020),1.6 E-Torq,COURROIE,110,120000 km,-,fiat,tipo
Fiat,Tipo,Tipo 1.0 FireFly Turbo 356 (2020-…),1.0 FireFly Turbo,CHAÎNE,100,-,-,fiat,tipo
Fiat,Tipo,Tipo 1.6 Multijet II 356 (2020-…),1.6 Multijet II,COURROIE,130,180000-210000 km,-,fiat,tipo
Fiat,Tipo,Tipo 1.5 Hybrid FireFly 356 (2023-…),1.5 Hybrid FireFly,CHAÎNE,130 (système),-,-,fiat,tipo
Fiat,Ulysse,Ulysse 1.5 K0 (2022-…),1.5,COURROIE,100-180,180000-210000 km,-,fiat,ulysse
Fiat,Ulysse,Ulysse 2.0 Multijet K0 (2022-…),2.0 Multijet,COURROIE,100-180,180000-210000 km,-,fiat,ulysse
Ford,Bronco,Bronco 2.3 EB -2021,2.3 EB,CHAÎNE,275-330,-,-,ford,bronco
Ford,Bronco,Bronco 2.7 EB -2021,2.7 EB,CHAÎNE,275-330,-,-,ford,bronco
Ford,Bronco Sport,Bronco Sport 1.5 EB -2021,1.5 EB,COURROIE,181-250,-,-,ford,bronco-sport
Ford,Bronco Sport,Bronco Sport 2.0 EB -2021,2.0 EB,CHAÎNE,181-250,-,-,ford,bronco-sport
Ford,C-MAX/Grand C-MAX,C-MAX/Grand C-MAX 1.0 2010-2019,1.0,COURROIE,100-182,-,-,ford,c-max-grand-c-max
Ford,C-MAX/Grand C-MAX,C-MAX/Grand C-MAX 1.6 2010-2019,1.6,COURROIE,95-150,-,-,ford,c-max-grand-c-max
Ford,C-MAX/Grand C-MAX,C-MAX/Grand C-MAX 1.5 EB 2010-2019,1.5 EB,COURROIE,95-150,-,-,ford,c-max-grand-c-max
Ford,C-MAX/Grand C-MAX,C-MAX/Grand C-MAX 2.0 TDCi 2010-2019,2.0 TDCi,COURROIE,95-150,-,-,ford,c-max-grand-c-max
Ford,Edge,Edge 2.0 EB 2015-2023,2.0 EB,CHAÎNE,245-335,-,-,ford,edge
Ford,Edge,Edge 2.7 EB 2015-2023,2.7 EB,CHAÎNE,245-335,-,-,ford,edge
Ford,Edge (EU) / S-Max,Edge (EU) / S-Max 2.0 EcoBoost 2006-2023,2.0 EcoBoost,CHAÎNE,200-240,-,-,ford,edge-eu-s-max
Ford,Edge (EU) / S-Max,Edge (EU) / S-Max 2.0 TDCi 2006-2023,2.0 TDCi,COURROIE,120-210,-,-,ford,edge-eu-s-max
Ford,Escape/Kuga,Escape/Kuga 1.5 EB -2020,1.5 EB,COURROIE,150-250+,-,-,ford,escape-kuga
Ford,Escape/Kuga,Escape/Kuga 2.0 EB -2020,2.0 EB,CHAÎNE,150-250+,-,-,ford,escape-kuga
Ford,Escape/Kuga,Escape/Kuga HEV -2020,HEV,CHAÎNE,150-250+,-,-,ford,escape-kuga
Ford,Escape/Kuga,Escape/Kuga PHEV -2020,PHEV,CHAÎNE,150-250+,-,-,ford,escape-kuga
Ford,Escape/Kuga,Escape/Kuga 2.5 Duratec HE 2008-2012,2.5 Duratec HE,CHAÎNE,170-175,-,-,ford,escape-kuga
Ford,Escape/Kuga,Escape/Kuga 1.5 2013-2019,1.5,COURROIE,150-245,-,-,ford,escape-kuga
Ford,Escape/Kuga,Escape/Kuga 1.6 EB 2013-2019,1.6 EB,COURROIE,150-245,-,-,ford,escape-kuga
Ford,Escape/Kuga,Escape/Kuga 2.0 EB 2013-2019,2.0 EB,CHAÎNE,150-245,-,-,ford,escape-kuga
Ford,Expedition,Expedition 3.5 EB V6 -2015,3.5 EB V6,CHAÎNE,365-440,-,-,ford,expedition
Ford,Expedition,Expedition 5.4 V8 Triton 2003-2014,5.4 V8 Triton,CHAÎNE,260-310,-,-,ford,expedition
Ford,Explorer,Explorer 2.3 EB -2020,2.3 EB,CHAÎNE,300-400+,-,-,ford,explorer
Ford,Explorer,Explorer 3.0 EB -2020,3.0 EB,CHAÎNE,300-400+,-,-,ford,explorer
Ford,Explorer,Explorer 3.3 HEV -2020,3.3 HEV,CHAÎNE,300-400+,-,-,ford,explorer
Ford,Explorer,Explorer 4.0 SOHC 2002-2010,4.0 SOHC,CHAÎNE,210-292,-,-,ford,explorer
Ford,Explorer,Explorer 4.6 V8 2002-2010,4.6 V8,CHAÎNE,210-292,-,-,ford,explorer
Ford,Explorer,Explorer 2.0 2011-2019,2.0,CHAÎNE,240-365,-,-,ford,explorer
Ford,Explorer,Explorer 2.3 EB 2011-2019,2.3 EB,CHAÎNE,240-365,-,-,ford,explorer
Ford,Explorer,Explorer 3.5 V6 2011-2019,3.5 V6,CHAÎNE,240-365,-,-,ford,explorer
Ford,F-150,F-150 4.6 P2004-P2008,4.6,CHAÎNE,231-320,-,-,ford,f-150
Ford,F-150,F-150 5.4 Triton V8 P2004-P2008,5.4 Triton V8,CHAÎNE,231-320,-,-,ford,f-150
Ford,F-150,F-150 3.7 P2009-P2014,3.7,CHAÎNE,302-411,-,-,ford,f-150
Ford,F-150,F-150 5.0 P2009-P2014,5.0,CHAÎNE,302-411,-,-,ford,f-150
Ford,F-150,F-150 6.2 P2009-P2014,6.2,CHAÎNE,302-411,-,-,ford,f-150
Ford,F-150,F-150 3.5 EB P2009-P2014,3.5 EB,CHAÎNE,302-411,-,-,ford,f-150
Ford,F-150,F-150 2.7 P2015-P2020,2.7,CHAÎNE,325-450,-,-,ford,f-150
Ford,F-150,F-150 3.5 EB P2015-P2020,3.5 EB,CHAÎNE,325-450,-,-,ford,f-150
Ford,F-150,F-150 2.7 P2021-,2.7,CHAÎNE,325-450+,-,-,ford,f-150
Ford,F-150,F-150 3.5 EB P2021-,3.5 EB,CHAÎNE,325-450+,-,-,ford,f-150
Ford,F-150,F-150 5.0 P2021-,5.0,CHAÎNE,325-450+,-,-,ford,f-150
Ford,F-150,F-150 Hybride P2021-,Hybride,CHAÎNE,325-450+,-,-,ford,f-150
Ford,Fiesta,Fiesta 1.25 Mk5 (2002-2008),1.25,COURROIE,75-100,100 000 km,-,ford,fiesta
Ford,Fiesta,Fiesta 1.4 Mk5 (2002-2008),1.4,COURROIE,75-100,-,5 ans,ford,fiesta
Ford,Fiesta,Fiesta 1.6 Duratec Mk5 (2002-2008),1.6 Duratec,COURROIE,75-100,-,5 ans,ford,fiesta
Ford,Fiesta,Fiesta 1.25 Mk6 (2008-2017),1.25,COURROIE,60-120,100 000 km,-,ford,fiesta
Ford,Fiesta,Fiesta 1.4 Mk6 (2008-2017),1.4,COURROIE,60-120,-,5 ans,ford,fiesta
Ford,Fiesta,Fiesta 1.6 Duratec Mk6 (2008-2017),1.6 Duratec,COURROIE,60-120,-,5 ans,ford,fiesta
Ford,Fiesta,Fiesta 1.0 EcoBoost Mk6 (2008-2017),1.0 EcoBoost,COURROIE HUMIDE,100-140,180-240 000 km,8-10 ans,ford,fiesta
Ford,Fiesta,Fiesta 1.1 Duratec Mk7 (2017-2023),1.1 Duratec,COURROIE,70-85,90-120 000 km,5-6 ans,ford,fiesta
Ford,Fiesta,Fiesta 1.0 EcoBoost (mHEV) Mk7 (2017-2023),1.0 EcoBoost (mHEV),COURROIE HUMIDE,95-155,180-240 000 km,8-10 ans,ford,fiesta
Ford,Focus,Focus 1.4 Mk1 (2000-2004),1.4,COURROIE,75-100,100 000 km,-,ford,focus
Ford,Focus,Focus 1.6 Zetec-SE (Sigma) Mk1 (2000-2004),1.6 Zetec-SE (Sigma),COURROIE,75-100,-,5 ans,ford,focus
Ford,Focus,Focus 1.8 Mk1 (2000-2004),1.8,COURROIE,115-130,100 000 km,-,ford,focus
Ford,Focus,Focus 2.0 Zetec-E Mk1 (2000-2004),2.0 Zetec-E,COURROIE,115-130,-,5 ans,ford,focus
Ford,Focus,Focus 1.8 TDDi Mk1 (2000-2004),1.8 TDDi,COURROIE,90-115,160 000 km,-,ford,focus
Ford,Focus,Focus 1.8 TDCi Mk1 (2000-2004),1.8 TDCi,COURROIE,90-115,-,6 ans,ford,focus
Ford,Focus,Focus 1.8 Mk2 (2004-2011),1.8,CHAÎNE,125-145,-,-,ford,focus
Ford,Focus,Focus 2.0 Duratec HE Mk2 (2004-2011),2.0 Duratec HE,CHAÎNE,125-145,-,-,ford,focus
Ford,Focus,Focus 1.6 Duratec Ti-VCT Mk2 (2004-2011),1.6 Duratec Ti-VCT,COURROIE,100-115,100 000 km,5 ans,ford,focus
Ford,Focus,Focus 1.6 Mk2 (2004-2011),1.6,COURROIE,90-136,160 000 km,-,ford,focus
Ford,Focus,Focus 1.8 Mk2 (2004-2011),1.8,COURROIE,90-136,-,6 ans,ford,focus
Ford,Focus,Focus 2.0 TDCi Mk2 (2004-2011),2.0 TDCi,COURROIE,90-136,-,6 ans,ford,focus
Ford,Focus,Focus 2.0 EcoBoost Mk3 (2011-2018),2.0 EcoBoost,CHAÎNE,240-350,-,-,ford,focus
Ford,Focus,Focus 1.6 EcoBoost Mk3 (2011-2018),1.6 EcoBoost,COURROIE,150-182,150-180 000 km,8-10 ans,ford,focus
Ford,Focus,Focus 1.5 Mk3 (2011-2018),1.5,COURROIE,95-185,140-180 000 km,-,ford,focus
Ford,Focus,Focus 1.6 Mk3 (2011-2018),1.6,COURROIE,95-185,-,6-10 ans,ford,focus
Ford,Focus,Focus 2.0 TDCi Mk3 (2011-2018),2.0 TDCi,COURROIE,95-185,-,6-10 ans,ford,focus
Ford,Focus,Focus 1.0 EcoBoost Mk3 (2011-2018),1.0 EcoBoost,COURROIE HUMIDE,100-140,180-240 000 km,8-10 ans,ford,focus
Ford,Focus,Focus 1.5 EcoBoost Mk3 (2011-2018),1.5 EcoBoost,COURROIE HUMIDE,150-182,150-180 000 km,8-10 ans,ford,focus
Ford,Focus,Focus 2.3 EcoBoost (ST) Mk4 (2018-2023),2.3 EcoBoost (ST),CHAÎNE,280,-,-,ford,focus
Ford,Focus,Focus 1.0 EcoBoost mHEV Mk4 (2018-2023),1.0 EcoBoost mHEV,COURROIE HUMIDE,100-155,180-240 000 km,8-10 ans,ford,focus
Ford,Focus,Focus 1.5 EcoBoost (I3) Mk4 (2018-2023),1.5 EcoBoost (I3),COURROIE HUMIDE,150-182,150-180 000 km,8-10 ans,ford,focus
Ford,Focus,Focus 2.3 EcoBoost RS Mk3,2.3 EcoBoost,CHAÎNE,350,-,-,ford,focus
Ford,Galaxy,Galaxy 1.5 2006-2023,1.5,CHAÎNE,160-240,-,-,ford,galaxy
Ford,Galaxy,Galaxy 2.0 EB 2006-2023,2.0 EB,COURROIE,120-210,-,-,ford,galaxy
Ford,Galaxy,Galaxy 2.0 TDCi 2006-2023,2.0 TDCi,COURROIE,120-210,-,-,ford,galaxy
Ford,Maverick,Maverick 2.5 HEV -2022,2.5 HEV,CHAÎNE,191-250,-,-,ford,maverick
Ford,Maverick,Maverick 2.0 EB -2022,2.0 EB,CHAÎNE,191-250,-,-,ford,maverick
Ford,Mondeo,Mondeo 1.8 Mk3 (2000-2007),1.8,CHAÎNE,125-145,-,-,ford,mondeo
Ford,Mondeo,Mondeo 2.0 Duratec HE Mk3 (2000-2007),2.0 Duratec HE,CHAÎNE,125-145,-,-,ford,mondeo
Ford,Mondeo,Mondeo 2.5 Mk3 (2000-2007),2.5,CHAÎNE,170-226,-,-,ford,mondeo
